vehicle_age,km_driven,mileage,engine,max_power,seats,selling_price,km_per_year,power_per_cc,brand_popularity,model_rarity,fuel_type_diesel,fuel_type_electric,fuel_type_lpg,fuel_type_petrol,transmission_type_manual,seller_type_individual,seller_type_trustmark dealer,mileage_bucket_medium,mileage_bucket_high,mileage_bucket_very_high
4,30000,23.01,999,67.0,5,340000.0,6000.0,0.06706706706706707,0.03463231911677729,0.01964907669054347,False,False,False,True,True,True,False,False,True,False
5,39993,18.6,1199,88.76,5,465000.0,6665.5,0.07402835696413679,0.09699677991719786,0.023657751199316554,False,False,False,True,True,False,False,True,False,False
12,80000,17.92,1086,62.1,5,125000.0,6153.846153846154,0.057182320441988954,0.1939278438588421,0.009003088650851022,False,False,False,True,True,True,False,True,False,False
9,185000,15.1,2179,140.0,7,600000.0,18500.0,0.06424965580541533,0.06565025957810344,0.02148912400604587,True,False,False,False,True,True,False,True,False,False
8,90000,23.4,1248,74.0,5,380000.0,10000.0,0.05929487179487179,0.32325688374843925,0.05750147860944996,True,False,False,False,True,True,False,False,True,False
3,15000,22.54,1396,88.73,5,850000.0,3750.0,0.06356017191977077,0.1939278438588421,0.05901294604718407,True,False,False,False,True,True,False,False,True,False
3,40000,18.6,1197,81.83,5,598000.0,10000.0,0.06836257309941521,0.1939278438588421,0.05901294604718407,False,False,False,True,True,True,False,True,False,False
6,31180,18.0,1497,117.3,5,700000.0,4454.285714285715,0.0783567134268537,0.09699677991719786,0.04928698166524282,False,False,False,True,False,False,False,True,False,False
7,56000,23.4,1248,74.0,5,410000.0,7000.0,0.05929487179487179,0.32325688374843925,0.05750147860944996,True,False,False,False,True,False,False,False,True,False
5,52427,21.4,1197,83.1,5,590000.0,8737.833333333334,0.06942355889724311,0.32325688374843925,0.02378918315042387,False,False,False,True,False,False,False,False,True,False
1,40000,21.0,1498,74.96,7,850000.0,20000.0,0.05004005340453938,0.06565025957810344,0.013603206939607019,True,False,False,False,True,True,False,False,True,False
3,17000,18.15,1198,82.0,5,550000.0,4250.0,0.06844741235392321,0.06565025957810344,0.0017743313399487416,False,False,False,True,True,True,False,True,False,False
5,22000,15.4,1590,94.0,5,625000.0,3666.6666666666665,0.05911949685534591,0.32325688374843925,0.02378918315042387,False,False,False,True,True,False,False,True,False,False
5,54000,20.85,1197,83.14,5,600000.0,9000.0,0.06945697577276524,0.32325688374843925,0.05750147860944996,False,False,False,True,True,True,False,False,True,False
2,10000,20.51,998,67.04,5,445000.0,3333.3333333333335,0.06717434869739479,0.32325688374843925,0.046264046789774596,False,False,False,True,True,True,False,False,True,False
2,20000,20.89,1197,81.8,5,530000.0,6666.666666666667,0.0683375104427736,0.32325688374843925,0.004665834264309654,False,False,False,True,True,True,False,False,True,False
3,53237,26.6,998,58.16,5,410000.0,13309.25,0.05827655310621242,0.32325688374843925,0.046264046789774596,False,False,False,False,True,False,True,False,False,True
3,27263,22.5,999,68.0,5,350000.0,6815.75,0.06806806806806807,0.011171715844121705,0.004928698166524282,False,False,False,True,True,True,False,False,True,False
7,110000,22.32,1582,126.3,5,520000.0,13750.0,0.07983565107458912,0.1939278438588421,0.032069396070184664,True,False,False,False,True,True,False,False,True,False
5,70000,22.54,1396,88.73,5,750000.0,11666.666666666666,0.06356017191977077,0.1939278438588421,0.05901294604718407,True,False,False,False,True,True,False,False,True,False
4,70000,26.59,1248,74.0,5,560000.0,14000.0,0.05929487179487179,0.32325688374843925,0.05750147860944996,True,False,False,False,True,True,False,False,False,True
